TOP SELLERS,GENRE,TAGS
Baldur's Gate,"Adventure, RPG, Strategy","RPG, Choices Matter, Story Rich, Character Customization, Turn-Based Combat, Dungeons & Dragons, Adventure, CRPG, Fantasy, Online Co-Op, Multiplayer, Romance, Strategy, Singleplayer, Co-op Campaign, Class-Based, Sexual Content, Dark Fantasy, Combat, Controller"
Steam Deck,,
Lethal Company,"Action, Adventure, Indie, Early Access","Online Co-Op, Horror, First-Person, Co-op, Psychological Horror, Exploration, Survival Horror, Sci-fi, PvE, Procedural Generation, Atmospheric, Aliens, Time Management, Funny, Adventure, Dungeon Crawler, Action, Action-Adventure, Early Access, Perma Death"
Cyberpunk 2077,RPG,"Cyberpunk, Open World, Nudity, RPG, Singleplayer, Sci-fi, Futuristic, FPS, Mature, Story Rich, First-Person, Atmospheric, Exploration, Action, Violent, Great Soundtrack, Action RPG, Adventure, Character Customization, Immersive Sim"
Counter-Strike 2,"Action, Free to Play","FPS, Shooter, Multiplayer, Competitive, Action, Team-Based, eSports, Tactical, First-Person, PvP, Online Co-Op, Co-op, Strategy, Military, War, Difficult, Trading, Realistic, Fast-Paced, Moddable"
Call of Duty®,Action,"FPS, Multiplayer, Shooter, Action, Singleplayer, Military, First-Person, War, Modern, Tactical, Violent, Co-op, Realistic, Story Rich, Atmospheric, Mature, Online Co-Op, Gore, Third-Person Shooter, Third Person"
ELDEN RING,"Action, RPG","Souls-like, Dark Fantasy, Open World, RPG, Difficult, Action RPG, Third Person, Multiplayer, Fantasy, Singleplayer, Online Co-Op, Action, Co-op, PvP, Atmospheric, Violent, Great Soundtrack, 3D, Character Customization, Family Friendly"
Ready or Not,"Action, Adventure, Indie","Tactical, Realistic, FPS, Shooter, Multiplayer, Co-op, Singleplayer, First-Person, Action, Horror, Violent, Gun Customization, Combat, Crime, Gore, Modern, Atmospheric, America, Co-op Campaign, Early Access"
Hogwarts Legacy,"Action, Adventure, RPG","Magic, Fantasy, Open World, Singleplayer, Adventure, RPG, Character Customization, Exploration, Story Rich, Third Person, Action-Adventure, Atmospheric, Action RPG, Action, Combat, Choices Matter, Puzzle, Great Soundtrack, Dark, Family Friendly"
Cyberpunk 2077: Phantom Liberty,RPG,"RPG, Open World, Sexual Content, Cyberpunk, Story Rich, Nudity, Violent, Gore, Atmospheric, Singleplayer, First-Person, FPS, Character Customization, Action RPG, Action, Shooter, Choices Matter, Horror, Stealth, Great Soundtrack"
