TOP SELLERS,GENRE,TAGS
Baldur's Gate,"Adventure, RPG, Strategy","RPG, Choices Matter, Story Rich, Character Customization, Turn_Based Combat, Dungeons & Dragons, Adventure, CRPG, Fantasy, Online Co_Op, Multiplayer, Romance, Strategy, Singleplayer, Co_op Campaign, Class_Based, Sexual Content, Dark Fantasy, Combat, Controller"
Steam Deck,,
Lethal Company,"Action, Adventure, Indie, Early Access","Online Co_Op, Horror, First_Person, Co_op, Psychological Horror, Exploration, Survival Horror, Sci_fi, PvE, Procedural Generation, Atmospheric, Aliens, Time Management, Funny, Adventure, Dungeon Crawler, Action, Action_Adventure, Early Access, Perma Death"
Counter_Strike 2,"Action, Free to Play","FPS, Shooter, Multiplayer, Competitive, Action, Team_Based, eSports, Tactical, First_Person, PvP, Online Co_Op, Co_op, Strategy, Military, War, Difficult, Trading, Realistic, Fast_Paced, Moddable"
Call of Duty®,Action,"FPS, Multiplayer, Shooter, Action, Singleplayer, Military, First_Person, War, Modern, Tactical, Violent, Co_op, Realistic, Story Rich, Atmospheric, Mature, Online Co_Op, Gore, Third_Person Shooter, Third Person"
Cyberpunk 2077,RPG,"Cyberpunk, Open World, Nudity, RPG, Singleplayer, Sci_fi, Futuristic, FPS, Mature, Story Rich, First_Person, Atmospheric, Exploration, Action, Violent, Great Soundtrack, Action RPG, Adventure, Character Customization, Immersive Sim"
War Thunder,"Action, Massively Multiplayer, Simulation, Free to Play","Free to Play, Vehicular Combat, Combat, World War II, VR, Flight, War, Military, Tanks, Naval Combat, Simulation, Modern, Massively Multiplayer, Cold War, Action, Realistic, Shooter, Third_Person Shooter, Third Person, Multiplayer"
THE FINALS,"Action, Free to Play","Multiplayer, Shooter, Free to Play, FPS, Destruction, PvP, First_Person, Team_Based, Action, Character Customization, Tactical, Capitalism, Class_Based, Combat, Realistic, Choices Matter, Loot, Gun Customization, Crafting, Battle Royale"
Ready or Not,"Action, Adventure, Indie","Tactical, Realistic, FPS, Shooter, Multiplayer, Co_op, Singleplayer, First_Person, Action, Horror, Violent, Gun Customization, Combat, Crime, Gore, Modern, Atmospheric, America, Co_op Campaign, Early Access"
ELDEN RING,"Action, RPG","Souls_like, Dark Fantasy, Open World, RPG, Difficult, Action RPG, Third Person, Multiplayer, Fantasy, Singleplayer, Online Co_Op, Action, Co_op, PvP, Atmospheric, Violent, Great Soundtrack, 3D, Character Customization, Family Friendly"
